ID,KWAAD,DEPRE,DROOV,ANGST,ONTSP,BLIJ
17,42,36,58,34,29,27
17,3,1,10,14,89,96
18,12,50,20,34,49,66
18,17,21,26,11,15,75
18,10,50,47,36,68,52
18,8,28,14,20,68,54
18,16,40,34,25,92,56
18,24,49,16,24,75,48
18,9,59,23,17,72,63
18,24,70,67,35,25,31
18,19,55,65,62,29,39
18,45,68,52,49,26,26
18,8,52,39,17,40,27
18,9,46,34,38,26,42
18,26,50,31,17,64,47
18,19,61,20,78,48,29
18,60,60,68,63,15,26
18,65,70,66,61,19,26
18,26,36,47,25,64,57
18,30,32,32,26,47,46
18,13,15,20,12,76,69
18,1,17,22,17,71,74
18,42,45,48,19,47,56
18,19,19,18,23,62,82
18,29,61,60,36,26,43
18,25,27,49,48,44,46
18,4,59,35,61,31,26
18,24,26,26,19,55,33
18,26,16,28,28,58,59
18,9,9,14,10,48,47
18,51,49,54,12,55,89
18,19,25,29,22,50,53
18,19,21,26,17,62,52
18,19,46,14,57,48,30
18,7,49,30,51,26,37
18,82,75,75,67,13,19
18,44,46,18,12,44,47
18,12,45,22,8,61,64
18,15,51,45,13,44,18
18,16,24,20,11,47,40
18,6,11,8,10,26,76
18,13,13,9,13,82,61
18,12,14,21,19,77,72
18,14,15,17,14,72,87
18,11,9,10,10,75,76
18,8,5,7,5,82,80
18,16,8,10,15,68,70
18,11,48,35,29,20,42
18,7,15,5,13,33,76
18,1,11,15,12,69,82
18,36,16,40,19,26,26
18,5,9,18,8,34,36
18,10,19,21,26,61,72
18,14,23,10,19,72,68
18,10,9,9,8,61,68
18,12,2,1,1,96,100
18,34,45,50,9,12,47
18,12,14,15,11,67,65
18,6,7,12,14,66,72
18,55,54,19,82,54,49
19,9,12,18,12,76,70
19,11,13,5,11,94,69
19,28,19,20,12,16,24
19,13,6,13,7,69,78
19,8,11,19,19,74,56
19,11,18,11,14,82,71
19,9,9,12,9,24,19
19,12,7,11,12,77,72
19,11,6,11,13,64,56
19,7,12,9,18,36,28
19,8,9,10,11,68,75
19,32,11,56,17,43,50
19,3,41,57,16,31,31
19,12,9,8,16,77,74
19,9,13,53,9,53,81
19,1,15,11,14,92,61
19,20,10,3,12,73,73
19,11,7,9,5,83,73
19,18,12,12,10,91,86
19,16,12,12,13,40,84
19,13,5,17,9,77,71
19,10,9,9,7,75,75
19,30,7,11,7,71,64
19,12,10,9,9,48,46
19,6,6,12,7,68,86
19,6,8,11,5,67,61
19,8,5,5,9,84,33
19,5,6,7,7,64,73
19,7,6,7,4,71,77
19,7,9,10,12,75,61
19,15,9,12,7,82,85
19,5,12,10,11,78,86
19,2,12,5,6,53,53
19,6,5,19,13,11,63
19,9,11,13,12,76,75
19,8,12,12,8,26,26
19,5,12,11,12,32,78
19,10,4,4,8,93,70
19,3,9,8,7,95,75
19,72,4,7,10,90,84
